2B (Nose Pokes),,,,,,2G (deltaF/F),,,,,,,,,,,,,,,,,,,,2H (deltaF/F),,,,,,,,,,,,,,,,,,
,RR20,,RI120,,,,NP+,,,,,,,,,NP-,,,,,,,,,,,ME+,,,,,,,,,ME-,,,,,,,,
ID,Valued,Devalued,Valued,Devalued,,,RI120,,,,RR20,,,,,RI120,,,,RR20,,,,,,,RI120,,,,RR20,,,,,RI120,,,,RR20,,,,
1,61,25,45,31,,Time|ID,1,2,3,4,1,2,3,4,5,1,2,3,4,1,2,3,4,5,,Time|ID,1,2,3,4,1,2,3,4,5,1,2,3,4,1,2,3,4,5
,,,,,,-1.53333,0.066666667,0.558333333,0.390909091,0.8,0.430526,0.411111,0.403333,0.436393,0.646786,0.929412,0.617857,0.444643,0.373684,0.558716,0.463235,0.546923,0.405505,0.6,,-1.53333,0.754167,0.35,-0.09091,0.33,0.005263,0.271111,0.120833,0.362295,0.405357,0.363636,0.495062,0.221519,0.244872,0.142667,0.814286,0.502564,0.415385,0.387719
,,,,,,-1.5,0,0.55,0.381818182,0.82,0.393684,0.411111,0.3825,0.434754,0.652143,0.882353,0.617857,0.442857,0.4,0.558716,0.475735,0.545385,0.395872,0.608468,,-1.5,0.783333,0.358333,-0.08182,0.28,-0.01053,0.297778,0.129167,0.357377,0.389286,0.354545,0.491358,0.227848,0.242308,0.141333,0.819048,0.50641,0.423077,0.387719
,,,,,,-1.46667,0,0.491666667,0.4,0.8,0.383158,0.404444,0.361667,0.429836,0.652143,0.882353,0.614286,0.451786,0.4,0.538532,0.483824,0.551538,0.399083,0.620565,,-1.46667,0.8125,0.341667,-0.12727,0.26,-0.02105,0.306667,0.166667,0.362295,0.367857,0.336364,0.496296,0.218987,0.242308,0.137333,0.861905,0.525641,0.427692,0.401754
,,,,,,-1.43333,0.066666667,0.475,0.381818182,0.79,0.351579,0.397778,0.3325,0.44459,0.652143,0.870588,0.607143,0.446429,0.415789,0.526606,0.494118,0.553077,0.396789,0.629032,,-1.43333,0.825,0.358333,-0.10909,0.25,-0.02632,0.315556,0.183333,0.354098,0.3625,0.363636,0.497531,0.226582,0.244872,0.142667,0.847619,0.538462,0.433846,0.417544
,,,,,,-1.4,0.033333333,0.425,0.354545455,0.81,0.351579,0.404444,0.290833,0.441311,0.639643,0.852941,0.607143,0.457143,0.426316,0.511009,0.494118,0.542308,0.383945,0.641129,,-1.4,0.85,0.358333,-0.1,0.21,-0.03158,0.32,0.216667,0.360656,0.355357,0.354545,0.487654,0.220253,0.244872,0.149333,0.852381,0.530769,0.424615,0.431579
,,,,,,-1.36667,0.066666667,0.425,0.327272727,0.82,0.330526,0.417778,0.2575,0.423279,0.628929,0.847059,0.617857,0.466071,0.421053,0.499083,0.497794,0.537692,0.380734,0.645565,,-1.36667,0.845833,0.35,-0.04545,0.19,-0.02632,0.326667,0.233333,0.357377,0.366071,0.327273,0.469136,0.243038,0.242308,0.148,0.852381,0.548718,0.44,0.42807
,,,,,,-1.33333,0.033333333,0.408333333,0.318181818,0.82,0.325263,0.413333,0.240833,0.411803,0.621786,0.841176,0.596429,0.475,0.389474,0.481651,0.509559,0.528462,0.36789,0.652823,,-1.33333,0.85,0.325,-0.00909,0.15,-0.03158,0.331111,0.2625,0.342623,0.364286,0.327273,0.459259,0.258228,0.246154,0.162667,0.847619,0.567949,0.449231,0.438596
,,,,,,-1.3,0.033333333,0.4,0.309090909,0.84,0.304211,0.428889,0.236667,0.390492,0.639643,0.823529,0.6,0.483929,0.389474,0.470642,0.510294,0.517692,0.359174,0.6625,,-1.3,0.854167,0.291667,0.045455,0.13,-0.04737,0.32,0.266667,0.332787,0.35,0.309091,0.451852,0.26962,0.24359,0.157333,0.847619,0.570513,0.453846,0.445614
,,,,,,-1.26667,0.1,0.4,0.290909091,0.85,0.283158,0.44,0.224167,0.383934,0.634286,0.817647,0.557143,0.492857,0.384211,0.469725,0.521324,0.503846,0.349083,0.670161,,-1.26667,0.841667,0.291667,0.081818,0.06,-0.03158,0.324444,0.2875,0.331148,0.355357,0.318182,0.450617,0.273418,0.228205,0.174667,0.861905,0.585897,0.464615,0.436842
,,,,,,-1.23333,0.066666667,0.383333333,0.3,0.83,0.267368,0.44,0.2075,0.374098,0.637857,0.776471,0.55,0.4875,0.363158,0.454128,0.527206,0.510769,0.336239,0.679435,,-1.23333,0.845833,0.266667,0.127273,0.02,-0.03684,0.34,0.3375,0.336066,0.355357,0.345455,0.438272,0.28481,0.238462,0.174667,0.866667,0.59359,0.461538,0.445614
,,,,,,-1.2,0,0.358333333,0.318181818,0.83,0.241053,0.475556,0.186667,0.37082,0.650357,0.776471,0.525,0.480357,0.373684,0.433945,0.533824,0.503846,0.338073,0.683065,,-1.2,0.833333,0.266667,0.209091,-0.02,-0.04737,0.362222,0.354167,0.332787,0.351786,0.345455,0.448148,0.298734,0.239744,0.190667,0.871429,0.602564,0.472308,0.445614
,,,,,,-1.16667,0.033333333,0.35,0.3,0.84,0.241053,0.475556,0.195,0.367541,0.646786,0.776471,0.532143,0.476786,0.368421,0.425688,0.546324,0.504615,0.333486,0.697177,,-1.16667,0.829167,0.291667,0.245455,-0.05,-0.02105,0.348889,0.3875,0.365574,0.355357,0.327273,0.454321,0.303797,0.241026,0.205333,0.909524,0.608974,0.475385,0.449123
,,,,,,-1.13333,0.033333333,0.341666667,0.272727273,0.81,0.230526,0.475556,0.1825,0.367541,0.634286,0.764706,0.503571,0.4875,0.363158,0.414679,0.543382,0.492308,0.328899,0.702419,,-1.13333,0.825,0.275,0.327273,-0.06,-0.00526,0.38,0.4375,0.385246,0.35,0.327273,0.455556,0.317722,0.25,0.206667,0.942857,0.629487,0.484615,0.459649
,,,,,,-1.1,0.033333333,0.333333333,0.218181818,0.77,0.241053,0.48,0.174167,0.347869,0.627143,0.752941,0.471429,0.483929,0.368421,0.39633,0.561765,0.491538,0.322477,0.718548,,-1.1,0.8125,0.3,0.381818,-0.07,0,0.406667,0.479167,0.408197,0.367857,0.3,0.47037,0.321519,0.247436,0.225333,0.966667,0.644872,0.490769,0.454386
,,,,,,-1.06667,0.1,0.308333333,0.163636364,0.74,0.225263,0.48,0.174167,0.318361,0.623571,0.729412,0.421429,0.473214,0.384211,0.384404,0.563235,0.482308,0.326147,0.732258,,-1.06667,0.795833,0.3,0.418182,-0.09,0.005263,0.42,0.495833,0.442623,0.392857,0.3,0.48642,0.331646,0.25641,0.234667,0.980952,0.661538,0.490769,0.464912
,,,,,,-1.03333,0.066666667,0.283333333,0.118181818,0.71,0.225263,0.464444,0.178333,0.311803,0.614643,0.758824,0.407143,0.460714,0.384211,0.36789,0.565441,0.474615,0.331651,0.746774,,-1.03333,0.795833,0.316667,0.445455,-0.1,0.010526,0.453333,0.554167,0.478689,0.416071,0.290909,0.503704,0.359494,0.252564,0.265333,1.014286,0.673077,0.510769,0.470175
,,,,,,-1,0.133333333,0.275,0.118181818,0.66,0.209474,0.468889,0.186667,0.300328,0.586071,0.747059,0.4,0.448214,0.384211,0.353211,0.571324,0.461538,0.337156,0.7625,,-1,0.766667,0.283333,0.509091,-0.08,0.063158,0.495556,0.6125,0.534426,0.441071,0.318182,0.511111,0.377215,0.274359,0.281333,1.004762,0.682051,0.529231,0.475439
,,,,,,-0.96667,0.133333333,0.25,0.090909091,0.62,0.204211,0.484444,0.165833,0.282295,0.575357,0.752941,0.353571,0.441071,0.357895,0.336697,0.578676,0.451538,0.348624,0.781855,,-0.96667,0.75,0.283333,0.554545,-0.08,0.131579,0.531111,0.65,0.578689,0.471429,0.263636,0.519753,0.403797,0.280769,0.321333,1.014286,0.714103,0.572308,0.5
,,,,,,-0.93333,0.133333333,0.216666667,0.1,0.57,0.209474,0.495556,0.174167,0.282295,0.553929,0.747059,0.342857,0.432143,0.384211,0.326606,0.5875,0.448462,0.349083,0.789113,,-0.93333,0.75,0.333333,0.609091,-0.05,0.173684,0.575556,0.675,0.637705,0.507143,0.272727,0.533333,0.43038,0.302564,0.353333,1.061905,0.735897,0.612308,0.524561
